method,scenario,seed,n_evaluated,freq_gt,freq_pred,signed_frequency_bias,precision,recall,f1,csi,rmse,mae,rmse_wet,mae_wet,mae_p95,rmse_p95,tp,fp,fn,tn,source_prediction_file
MICE,block30d,deterministic,840,0.3262,0.7536,0.4274,0.4076,0.9416,0.5689,0.3975,4.1277,2.0188,6.7038,4.236,20.38,22.27,258,375,16,191,results/canonical/predictions/MICE.csv
MICE,block7d,deterministic,840,0.3262,0.7036,0.3774,0.4298,0.927,0.5873,0.4157,3.8032,1.9436,5.9583,3.8171,18.82,21.41,254,337,20,229,results/canonical/predictions/MICE.csv
MICE,netblock30d,deterministic,840,0.2548,1.0,0.7452,0.2548,1.0,0.4061,0.2548,3.1144,1.3151,6.1208,3.8283,22.88,23.23,214,626,0,0,results/canonical/predictions/MICE.csv
Mean,10pct,deterministic,416,0.3389,1.0,0.6611,0.3389,1.0,0.5063,0.3389,4.1948,2.4136,6.8492,4.0251,23.83,24.83,141,275,0,0,results/canonical/predictions/Mean.csv
Mean,20pct,deterministic,833,0.3673,1.0,0.6327,0.3673,1.0,0.5373,0.3673,3.8511,2.3028,6.0006,3.55,21.75,22.09,306,527,0,0,results/canonical/predictions/Mean.csv
Mean,block30d,deterministic,840,0.3262,1.0,0.6738,0.3262,1.0,0.4919,0.3262,4.6348,2.4924,7.783,4.3662,26.65,27.58,274,566,0,0,results/canonical/predictions/Mean.csv
Mean,block7d,deterministic,840,0.3262,1.0,0.6738,0.3262,1.0,0.4919,0.3262,4.0712,2.3492,6.7464,3.9236,24.89,25.85,274,566,0,0,results/canonical/predictions/Mean.csv
Mean,netblock30d,deterministic,840,0.2548,1.0,0.7452,0.2548,1.0,0.4061,0.2548,3.1073,2.0722,5.5203,3.5136,21.68,22.07,214,626,0,0,results/canonical/predictions/Mean.csv
MissingnessIndicatorRF,10pct,123,416,0.3389,0.387,0.0481,0.7578,0.8652,0.8079,0.6778,3.3238,1.4499,5.4375,3.4805,14.55,17.65,122,39,19,236,results/canonical/predictions/MissingnessIndicatorRF.csv
MissingnessIndicatorRF,10pct,42,416,0.3389,0.3582,0.0192,0.7852,0.8298,0.8069,0.6763,3.2919,1.3938,5.4171,3.4344,14.56,17.61,117,32,24,243,results/canonical/predictions/MissingnessIndicatorRF.csv
MissingnessIndicatorRF,10pct,456,416,0.3389,0.4014,0.0625,0.7485,0.8865,0.8117,0.6831,3.3087,1.4572,5.3794,3.4302,14.46,17.38,125,42,16,233,results/canonical/predictions/MissingnessIndicatorRF.csv
MissingnessIndicatorRF,20pct,123,833,0.3673,0.3613,-0.006,0.7841,0.7712,0.7776,0.6361,3.1585,1.4541,4.8228,3.2149,12.44,14.84,236,65,70,462,results/canonical/predictions/MissingnessIndicatorRF.csv
MissingnessIndicatorRF,20pct,42,833,0.3673,0.3313,-0.036,0.8043,0.7255,0.7629,0.6167,3.1584,1.417,4.838,3.1806,12.64,14.94,222,54,84,473,results/canonical/predictions/MissingnessIndicatorRF.csv
MissingnessIndicatorRF,20pct,456,833,0.3673,0.3733,0.006,0.7717,0.7843,0.778,0.6366,3.1645,1.472,4.8346,3.2388,12.44,14.81,240,71,66,456,results/canonical/predictions/MissingnessIndicatorRF.csv
MissingnessIndicatorRF,block30d,123,840,0.3262,0.3655,0.0393,0.7492,0.8394,0.7917,0.6553,3.7172,1.6241,6.0658,3.9261,18.68,20.39,230,77,44,489,results/canonical/predictions/MissingnessIndicatorRF.csv
MissingnessIndicatorRF,block30d,42,840,0.3262,0.3464,0.0202,0.7766,0.8248,0.8,0.6667,3.709,1.6006,6.0749,3.9414,18.62,20.3,226,65,48,501,results/canonical/predictions/MissingnessIndicatorRF.csv
MissingnessIndicatorRF,block30d,456,840,0.3262,0.3774,0.0512,0.7382,0.854,0.7919,0.6555,3.7397,1.6521,6.0863,3.9428,18.85,20.44,234,83,40,483,results/canonical/predictions/MissingnessIndicatorRF.csv
MissingnessIndicatorRF,block7d,123,840,0.3262,0.3369,0.0107,0.7809,0.8066,0.7935,0.6577,2.9991,1.3262,4.9237,3.316,13.76,15.7,221,62,53,504,results/canonical/predictions/MissingnessIndicatorRF.csv
MissingnessIndicatorRF,block7d,42,840,0.3262,0.3131,-0.0131,0.7985,0.7664,0.7821,0.6422,2.9766,1.2802,4.9053,3.2499,13.49,15.5,210,53,64,513,results/canonical/predictions/MissingnessIndicatorRF.csv
MissingnessIndicatorRF,block7d,456,840,0.3262,0.344,0.0179,0.7751,0.8175,0.7957,0.6608,2.9734,1.3313,4.8561,3.2978,13.33,15.27,224,65,50,501,results/canonical/predictions/MissingnessIndicatorRF.csv
MissingnessIndicatorRF,netblock30d,123,840,0.2548,0.0,-0.2548,0.0,0.0,0.0,0.0,3.2346,1.065,6.4085,4.1804,23.33,23.68,0,0,214,626,results/canonical/predictions/MissingnessIndicatorRF.csv
MissingnessIndicatorRF,netblock30d,42,840,0.2548,0.0,-0.2548,0.0,0.0,0.0,0.0,3.2346,1.065,6.4085,4.1804,23.33,23.68,0,0,214,626,results/canonical/predictions/MissingnessIndicatorRF.csv
MissingnessIndicatorRF,netblock30d,456,840,0.2548,0.0,-0.2548,0.0,0.0,0.0,0.0,3.2346,1.065,6.4085,4.1804,23.33,23.68,0,0,214,626,results/canonical/predictions/MissingnessIndicatorRF.csv
SAITS,10pct,123,416,0.3389,0.4639,0.125,0.6062,0.8298,0.7006,0.5392,4.2062,1.4991,7.2109,4.1118,24.66,25.64,117,76,24,199,results/canonical/predictions/SAITS.csv
SAITS,10pct,42,416,0.3389,0.3702,0.0312,0.6688,0.7305,0.6983,0.5365,4.2403,1.4782,7.2739,4.16,24.84,25.81,103,51,38,224,results/canonical/predictions/SAITS.csv
SAITS,10pct,456,416,0.3389,0.363,0.024,0.6623,0.7092,0.6849,0.5208,4.2736,1.4902,7.3319,4.2155,24.93,25.87,100,51,41,224,results/canonical/predictions/SAITS.csv
