method,scenario,n_seeds,n_evaluated,freq_gt_mean,freq_gt_std,freq_pred_mean,freq_pred_std,signed_frequency_bias_mean,signed_frequency_bias_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,csi_mean,csi_std,rmse_mean,rmse_std,mae_mean,mae_std,rmse_wet_mean,rmse_wet_std,mae_wet_mean,mae_wet_std,mae_p95_mean,mae_p95_std,rmse_p95_mean,rmse_p95_std
SAITS,netblock30d,3,840,0.2548,0.0,0.3135,0.2959,0.0587,0.2958,0.4378,0.1843,0.405,0.3358,0.3067,0.1834,0.1899,0.1214,3.2061,0.0204,1.0973,0.0233,6.3495,0.0425,4.0894,0.0578,23.28,0.0361,23.63,0.0265
SingleStageRF,10pct,3,416,0.3389,0.0,0.629,0.0073,0.2901,0.0073,0.5249,0.0041,0.974,0.0041,0.6821,0.0026,0.5176,0.003,3.2077,0.0162,1.3849,0.0118,5.336,0.0297,3.2342,0.0363,14.7933,0.1097,17.9,0.0265
SingleStageRF,20pct,3,833,0.3673,0.0,0.6627,0.0073,0.2953,0.0073,0.5121,0.0038,0.9237,0.0083,0.6589,0.0039,0.4913,0.0043,2.9903,0.0179,1.3879,0.0089,4.6638,0.0231,2.9322,0.0185,12.29,0.1411,14.5867,0.085
SingleStageRF,block30d,3,840,0.3262,0.0,0.6746,0.0101,0.3484,0.0101,0.4642,0.0075,0.9599,0.0037,0.6258,0.0072,0.4554,0.0076,3.6973,0.0056,1.6075,0.0035,6.1025,0.0125,3.7242,0.0058,19.3867,0.1115,21.1933,0.0971
SingleStageRF,block7d,3,840,0.3262,0.0,0.6317,0.0049,0.3055,0.0049,0.4931,0.0047,0.955,0.0021,0.6504,0.0045,0.4819,0.005,2.9358,0.0133,1.3023,0.0045,4.8878,0.0284,3.1072,0.0085,14.3933,0.1986,16.3133,0.1877
SingleStageRF,netblock30d,3,840,0.2548,0.0,1.0,0.0,0.7452,0.0,0.2548,0.0,1.0,0.0,0.4061,0.0,0.2548,0.0,3.0142,0.0042,1.3899,0.0051,5.8401,0.0164,3.6991,0.0013,22.23,0.0557,22.6867,0.0404
WGANGP_PrecipFix,10pct,3,416,0.3389,0.0,0.2965,0.051,-0.0425,0.051,0.4421,0.0591,0.3924,0.1221,0.4137,0.0935,0.2638,0.077,4.4112,0.0539,1.5796,0.0132,7.567,0.1009,4.493,0.0789,25.3767,0.1365,26.2733,0.1201
WGANGP_PrecipFix,20pct,3,833,0.3673,0.0,0.2641,0.0447,-0.1032,0.0447,0.4762,0.0574,0.3377,0.0208,0.3931,0.0039,0.2446,0.003,4.0773,0.0186,1.5375,0.0189,6.7097,0.0376,4.0001,0.0088,23.0033,0.105,23.3333,0.1007
WGANGP_PrecipFix,block30d,3,840,0.3262,0.0,0.2266,0.0471,-0.0996,0.0471,0.3856,0.0598,0.2628,0.0228,0.3106,0.0227,0.184,0.016,4.8659,0.0164,1.6788,0.0173,8.5111,0.0293,4.9635,0.008,28.0333,0.0651,28.9167,0.0874
WGANGP_PrecipFix,block7d,3,840,0.3262,0.0,0.2484,0.0531,-0.0778,0.053,0.4159,0.0704,0.3102,0.0352,0.3524,0.0269,0.2141,0.0196,4.2628,0.0117,1.5043,0.0237,7.4546,0.0173,4.4204,0.0029,26.15,0.0624,27.1067,0.0702
WGANGP_raw,10pct,3,416,0.3389,0.0,0.9992,0.0014,0.6603,0.0014,0.3392,0.0005,1.0,0.0,0.5066,0.0005,0.3392,0.0005,4.1825,0.0084,2.0977,0.2201,6.9429,0.0814,4.0458,0.0336,24.15,0.167,25.06,0.2152
WGANGP_raw,20pct,3,833,0.3673,0.0,0.9972,0.0048,0.6299,0.0049,0.3667,0.001,0.9956,0.0076,0.5361,0.0021,0.3662,0.002,3.8644,0.0235,2.0107,0.2459,6.1386,0.1272,3.6096,0.0419,21.7633,0.2309,22.1533,0.2139
WGANGP_raw,block30d,3,840,0.3262,0.0,0.9806,0.0337,0.6544,0.0337,0.3312,0.0087,0.9951,0.0084,0.4969,0.0087,0.3307,0.0077,4.6567,0.021,2.1797,0.3042,7.9414,0.1555,4.4676,0.0864,26.8933,0.245,27.83,0.1931
WGANGP_raw,block7d,3,840,0.3262,0.0,0.9972,0.0048,0.671,0.0048,0.3263,0.0002,0.9976,0.0042,0.4917,0.0003,0.326,0.0003,4.0604,0.0154,2.0065,0.2798,6.878,0.1663,3.9754,0.0547,25.0,0.3041,26.05,0.2402
