method,scenario,seed,pearson_amount_corr_mae,spearman_amount_corr_mae,wet_occurrence_corr_mae
MissingnessIndicatorRF,20pct,123,0.03691380166809688,0.03586069432316874,0.05376187302158514
MissingnessIndicatorRF,block7d,123,0.044387129460074705,0.026934261964659294,0.036362308528244104
MissingnessIndicatorRF,block30d,123,0.08175043876203314,0.030959374779599202,0.03543515440950947
MissingnessIndicatorRF,netblock30d,123,0.009941311740821876,0.0069878588483374875,0.0191343178047087
MissingnessIndicatorRF,10pct,456,0.02638441400813966,0.015249984058609833,0.02025069513501998
MissingnessIndicatorRF,20pct,456,0.03603956025816594,0.034625389394681995,0.05276003309584245
MissingnessIndicatorRF,block7d,456,0.044702433680121355,0.024662588448219502,0.03444227725197376
MissingnessIndicatorRF,block30d,456,0.08198042713090346,0.02957502846849926,0.033950714358534195
MissingnessIndicatorRF,netblock30d,456,0.009941311740821876,0.0069878588483374875,0.0191343178047087
SAITS,10pct,42,0.04601360981489425,0.07457084149962197,0.03451159692951796
SAITS,20pct,42,0.13148948760244752,0.12424999319763601,0.033201580355644356
SAITS,block7d,42,0.0901980343404009,0.15054477241662895,0.07865392280779569
SAITS,block30d,42,0.06023572071811121,0.14230792561627187,0.0815858307868725
SAITS,netblock30d,42,0.00953047554427446,0.012591695788864507,0.03048470084730163
SAITS,10pct,123,0.04464629878523672,0.08040125897199236,0.0343047973982293
SAITS,20pct,123,0.13083126587712543,0.13436194091649276,0.03600552726132187
SAITS,block7d,123,0.08749915919174152,0.15566787105550542,0.052735155926777445
SAITS,block30d,123,0.05870471794779427,0.14742215711195886,0.0663502818318914
SAITS,netblock30d,123,0.009419777387435472,0.006321765781730789,0.03966860702658435
SAITS,10pct,456,0.047637672640589566,0.05004528475413863,0.041766212506793875
SAITS,20pct,456,0.13370017016166905,0.09233102255561378,0.04701587275520197
SAITS,block7d,456,0.09108167257541543,0.10499604954187347,0.08533901412398114
SAITS,block30d,456,0.061469708978003974,0.11192391889701642,0.09490184826172628
SAITS,netblock30d,456,0.009811671397297753,0.021264186264470557,0.016405901650667243
WGANGP_raw,10pct,42,0.04664653671596882,0.1290761167924858,0.14892717499762184
WGANGP_raw,20pct,42,0.137487500734937,0.2311518302362845,0.2519907890250385
WGANGP_raw,block7d,42,0.08957615741793185,0.2479811760385503,0.2934239187315372
WGANGP_raw,block30d,42,0.05773893337306177,0.24383619361858933,0.2774530246169311
WGANGP_raw,10pct,123,0.04282357831478373,0.10829371317575076,0.14801235774544405
WGANGP_raw,20pct,123,0.13120917604179586,0.19914624536976286,0.2547762268497024
WGANGP_raw,block7d,123,0.08338130501015163,0.21665497671476217,0.29287755559611744
WGANGP_raw,block30d,123,0.05629066753377271,0.19966944662969763,0.26069363325241773
WGANGP_raw,10pct,456,0.046329490174986644,0.12984089853820685,0.14892717499762184
WGANGP_raw,20pct,456,0.134853557347505,0.23311222346165492,0.2519907890250385
WGANGP_raw,block7d,456,0.08961226580831745,0.25188680380805556,0.2934239187315372
WGANGP_raw,block30d,456,0.05836239820008721,0.2534902858821137,0.2774530246169311
