method,scenario,seed,station_id,cdd_obs,cdd_pred,cdd_abs_error,mean_dry_obs,mean_dry_pred,mean_dry_abs_error,p95_dry_obs,p95_dry_pred,p95_dry_abs_error,n_dry_spells_obs,n_dry_spells_pred
Linear,netblock30d,deterministic,17155,45.0,50.0,5.0,5.758064516129032,6.688679245283019,0.9306147291539872,18.0,29.0,11.0,124,106
Linear,netblock30d,deterministic,17704,44.0,47.0,3.0,5.392307692307693,6.196428571428571,0.8041208791208785,18.0,26.549999999999784,8.549999999999784,130,112
Linear,netblock30d,deterministic,17748,44.0,55.0,11.0,5.906779661016949,6.5588235294117645,0.6520438683948155,18.299999999999983,37.099999999999795,18.799999999999812,118,102
Linear,netblock30d,deterministic,17750,48.0,94.0,46.0,5.582677165354331,5.823008849557522,0.2403316842031913,18.0,18.799999999999983,0.799999999999983,127,113
KNN,10pct,deterministic,17155,45.0,45.0,0.0,5.758064516129032,5.029197080291971,0.7288674358370608,18.0,18.0,0.0,124,137
KNN,10pct,deterministic,17704,44.0,44.0,0.0,5.392307692307693,4.884892086330935,0.5074156059767576,18.0,16.099999999999994,1.9000000000000057,130,139
KNN,10pct,deterministic,17748,44.0,45.0,1.0,5.906779661016949,5.346774193548387,0.560005467468562,18.299999999999983,16.849999999999994,1.4499999999999886,118,124
KNN,10pct,deterministic,17750,48.0,45.0,3.0,5.582677165354331,5.351145038167939,0.2315321271863917,18.0,17.0,1.0,127,131
KNN,20pct,deterministic,17155,45.0,27.0,18.0,5.758064516129032,4.703448275862069,1.054616240266963,18.0,18.0,0.0,124,145
KNN,20pct,deterministic,17704,44.0,32.0,12.0,5.392307692307693,4.292207792207792,1.1000999000999006,18.0,12.349999999999994,5.650000000000006,130,154
KNN,20pct,deterministic,17748,44.0,45.0,1.0,5.906779661016949,4.985185185185185,0.921594475831764,18.299999999999983,15.299999999999997,2.999999999999986,118,135
KNN,20pct,deterministic,17750,48.0,48.0,0.0,5.582677165354331,5.201492537313433,0.3811846280408977,18.0,23.69999999999999,5.699999999999989,127,134
KNN,block7d,deterministic,17155,45.0,31.0,14.0,5.758064516129032,5.091603053435114,0.6664614626939178,18.0,18.0,0.0,124,131
KNN,block7d,deterministic,17704,44.0,35.0,9.0,5.392307692307693,5.030075187969925,0.36223250433776766,18.0,17.0,1.0,130,133
KNN,block7d,deterministic,17748,44.0,39.0,5.0,5.906779661016949,4.804511278195489,1.1022683828214603,18.299999999999983,15.399999999999991,2.8999999999999915,118,133
KNN,block7d,deterministic,17750,48.0,46.0,2.0,5.582677165354331,5.2727272727272725,0.3099498926270581,18.0,18.0,0.0,127,132
KNN,block30d,deterministic,17155,45.0,45.0,0.0,5.758064516129032,5.223076923076923,0.5349875930521089,18.0,18.0,0.0,124,130
KNN,block30d,deterministic,17704,44.0,44.0,0.0,5.392307692307693,5.317460317460317,0.07484737484737547,18.0,17.75,0.25,130,126
KNN,block30d,deterministic,17748,44.0,40.0,4.0,5.906779661016949,4.776119402985074,1.1306602580318748,18.299999999999983,16.69999999999999,1.5999999999999943,118,134
KNN,block30d,deterministic,17750,48.0,48.0,0.0,5.582677165354331,5.141791044776119,0.4408861205782113,18.0,18.0,0.0,127,134
KNN,netblock30d,deterministic,17155,45.0,30.0,15.0,5.758064516129032,5.036036036036036,0.7220284800929964,18.0,17.5,0.5,124,111
KNN,netblock30d,deterministic,17704,44.0,37.0,7.0,5.392307692307693,4.64957264957265,0.7427350427350428,18.0,16.0,2.0,130,117
KNN,netblock30d,deterministic,17748,44.0,40.0,4.0,5.906779661016949,5.132075471698113,0.774704189318836,18.299999999999983,15.0,3.299999999999983,118,106
KNN,netblock30d,deterministic,17750,48.0,38.0,10.0,5.582677165354331,4.724137931034483,0.8585392343198475,18.0,16.25,1.75,127,116
MICE,10pct,deterministic,17155,45.0,35.0,10.0,5.758064516129032,4.397350993377484,1.3607135227515483,18.0,15.0,3.0,124,151
MICE,10pct,deterministic,17704,44.0,44.0,0.0,5.392307692307693,4.636363636363637,0.755944055944056,18.0,16.0,2.0,130,143
MICE,10pct,deterministic,17748,44.0,38.0,6.0,5.906779661016949,4.764705882352941,1.1420737786640078,18.299999999999983,15.25,3.049999999999983,118,136
MICE,10pct,deterministic,17750,48.0,38.0,10.0,5.582677165354331,5.007352941176471,0.5753242241778596,18.0,17.0,1.0,127,136
MICE,20pct,deterministic,17155,45.0,26.0,19.0,5.758064516129032,3.783132530120482,1.9749319860085501,18.0,12.25,5.75,124,166
MICE,20pct,deterministic,17704,44.0,23.0,21.0,5.392307692307693,3.8271604938271606,1.565147198480532,18.0,10.949999999999989,7.050000000000011,130,162
MICE,20pct,deterministic,17748,44.0,19.0,25.0,5.906779661016949,3.8742138364779874,2.0325658245389615,18.299999999999983,12.0,6.299999999999983,118,159
MICE,20pct,deterministic,17750,48.0,45.0,3.0,5.582677165354331,4.5524475524475525,1.030229612906778,18.0,14.0,4.0,127,143
MICE,block7d,deterministic,17155,45.0,26.0,19.0,5.758064516129032,4.8307692307692305,0.9272952853598015,18.0,16.0,2.0,124,130
MICE,block7d,deterministic,17704,44.0,35.0,9.0,5.392307692307693,4.635036496350365,0.757271195957328,18.0,16.19999999999999,1.8000000000000114,130,137
