audit_category,check_name,method,scenario,seed,status,observed,expected,tolerance,source_file,message
integrity,row_index_matches_fresh_mask,SingleStageRF,block30d,456,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,SingleStageRF,netblock30d,42,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SingleStageRF,netblock30d,42,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SingleStageRF,netblock30d,42,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SingleStageRF,netblock30d,42,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,SingleStageRF,netblock30d,123,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SingleStageRF,netblock30d,123,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SingleStageRF,netblock30d,123,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SingleStageRF,netblock30d,123,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,SingleStageRF,netblock30d,456,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SingleStageRF,netblock30d,456,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SingleStageRF,netblock30d,456,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SingleStageRF,netblock30d,456,PASS,True,True,,,every row_index is a true art_mask position
completeness,expected_groups_exist,MissingnessIndicatorRF,,,PASS,15,15,,,all groups present
completeness,no_unexpected_groups,MissingnessIndicatorRF,,,PASS,15,15,,,no unexpected groups
completeness,no_duplicate_rows,MissingnessIndicatorRF,10pct,42,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,MissingnessIndicatorRF,10pct,42,PASS,416,416,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MissingnessIndicatorRF,10pct,42,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,MissingnessIndicatorRF,10pct,42,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,MissingnessIndicatorRF,10pct,123,PASS,0,0,,,no duplicate row_index within group
