seed,scenario,a_local,a_neighbor,a_total,y_true,p_calibrated,wet_pred,y_hat_amount,is_wet_true
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.08954716925098272,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.09305265241184431,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.0479494587153096,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.20000000470317902,0.7530329760159195,True,6.106467406681394,True
42,10pct,1.0,1.0,1.0,0.20000000470317902,0.7277689718076498,True,6.344507986805658,True
42,10pct,1.0,1.0,1.0,0.0,0.28495206042338156,False,0.0,False
42,10pct,1.0,1.0,1.0,0.20000000470317902,0.21200162223679905,False,0.0,True
42,10pct,1.0,1.0,1.0,0.0,0.09067523291038955,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.054210352324016796,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.03938521279446812,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.04819790433488134,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.04214881100317567,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.03894002822241366,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.05266744646082867,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.04523501909854617,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.044325084262489975,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.040620835956083325,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.040008909488606186,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.03955846954386551,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.03967947227967055,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.03985618769447083,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.04345224213718437,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.049830198059909334,False,0.0,False
42,10pct,0.6666666666666666,1.0,0.8333333333333333,0.0,0.06449289219625477,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.04758937883117394,False,0.0,False
42,10pct,0.5,1.0,0.75,0.0,0.10891636768315327,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.04665040509430801,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.06824545313390755,False,0.0,False
42,10pct,0.6666666666666666,1.0,0.8333333333333333,0.0,0.0577421615447489,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.22687727672287783,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.059485039265775246,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.20000000470317902,0.13982047103653733,False,0.0,True
42,10pct,0.8333333333333334,1.0,0.9166666666666667,1.6000000376254322,0.8770851484549,True,2.849919716063433,True
42,10pct,1.0,1.0,1.0,0.0,0.11049308662945044,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.07011139538729799,False,0.0,False
42,10pct,1.0,0.85714287,0.9285714328289032,0.0,0.087691644558933,False,0.0,False
42,10pct,0.3333333333333333,1.0,0.6666666666666666,0.0,0.07270639310048269,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.09500671794143661,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,18.60000101923943,0.9145367011196129,True,12.939245787797049,True
42,10pct,1.0,1.0,1.0,0.0,0.09555516743847958,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,3.8000000394880775,0.8254281045078113,True,8.018143668280539,True
42,10pct,1.0,1.0,1.0,10.000000467896463,0.9278607451569192,True,10.807917807184554,True
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.600000030733645,0.8801836520310248,True,8.969064696075243,True
42,10pct,1.0,0.85714287,0.9285714328289032,0.8000000188127161,0.8169534456996074,True,9.063273434012654,True
42,10pct,0.6666666666666666,1.0,0.8333333333333333,0.0,0.09687840133995797,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.20000000470317902,0.23421831479081848,False,0.0,True
42,10pct,0.8333333333333334,1.0,0.9166666666666667,10.000000467896463,0.8855506817445732,True,8.82319194975736,True
42,10pct,1.0,1.0,1.0,0.0,0.20176460488072132,False,0.0,False
42,10pct,0.5,1.0,0.75,0.0,0.07528044201946334,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.05862122450648147,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.057767879984147216,False,0.0,False
42,10pct,1.0,1.0,1.0,0.20000000470317902,0.21720237300354062,False,0.0,True
42,10pct,1.0,1.0,1.0,0.20000000470317902,0.4669928392209701,True,1.875426236441999,True
42,10pct,1.0,1.0,1.0,10.200000455975534,0.9201374612308023,True,16.717897245080543,True
42,10pct,1.0,1.0,1.0,0.0,0.30670470725092414,False,0.0,False
42,10pct,0.6666666666666666,1.0,0.8333333333333333,0.0,0.09883596944748099,False,0.0,False
42,10pct,1.0,1.0,1.0,22.40000079274178,0.9109258440104109,True,18.052626631941283,True
42,10pct,1.0,1.0,1.0,0.20000000470317902,0.6402237379641902,True,0.8533258153859096,True
42,10pct,1.0,1.0,1.0,0.0,0.0840976751872291,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,7.600000078976155,0.9035215732370913,True,2.1626233288817707,True
42,10pct,1.0,1.0,1.0,4.400000003725291,0.9031814651513,True,6.382092430211318,True
42,10pct,1.0,1.0,1.0,0.20000000470317902,0.8499331174714321,True,2.646018516394589,True
42,10pct,1.0,1.0,1.0,0.0,0.7939493093355803,True,2.302988934145354,False
42,10pct,1.0,1.0,1.0,0.20000000470317902,0.7441151194429986,True,1.4757349577411052,True
42,10pct,1.0,1.0,1.0,3.4000000633299354,0.5530650744927361,True,1.5933815844317423,True
42,10pct,1.0,1.0,1.0,0.0,0.06274488844754045,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.5479971620178645,True,0.9831708561852622,False
42,10pct,1.0,1.0,1.0,0.0,0.1566157387708397,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.13258197584314174,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.09468963868130682,False,0.0,False
42,10pct,1.0,1.0,1.0,2.2000000018626453,0.8556135150342531,True,2.0713363541586647,True
42,10pct,1.0,1.0,1.0,0.20000000470317902,0.27586880527068763,False,0.0,True
42,10pct,1.0,0.85714287,0.9285714328289032,0.0,0.06668267704586055,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.79425666119825,True,1.962676435485448,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,12.200000336766244,0.8760134019963948,True,7.870102020048805,True
42,10pct,0.8333333333333334,0.85714287,0.8452380994955699,1.4000000495463611,0.709781250443565,True,3.0296032591273576,True
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.10603587712489274,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.5974817041271415,True,2.6413994696582783,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.20000000470317902,0.08149586832491246,False,0.0,True
42,10pct,0.5,1.0,0.75,5.600000198185445,0.8947379598340658,True,5.153181085198395,True
