method,scenario,seed,station_id,cdd_obs,cdd_pred,cdd_abs_error,mean_dry_obs,mean_dry_pred,mean_dry_abs_error,p95_dry_obs,p95_dry_pred,p95_dry_abs_error
DirectTwoStageRF,10pct,456,17155,45.0,45.0,0.0,5.758064516129032,5.717741935483871,0.04032258064516103,18.0,18.0,0.0
DirectTwoStageRF,10pct,456,17704,44.0,44.0,0.0,5.392307692307693,5.2481203007518795,0.14418739155581317,18.0,18.0,0.0
DirectTwoStageRF,10pct,456,17748,44.0,44.0,0.0,5.906779661016949,5.991304347826087,0.0845246868091376,18.299999999999983,18.599999999999994,0.30000000000001137
DirectTwoStageRF,10pct,456,17750,48.0,45.0,3.0,5.582677165354331,5.626984126984127,0.04430696162979686,18.0,18.0,0.0
SAITS,10pct,456,17155,45.0,45.0,0.0,5.758064516129032,5.5234375,0.23462701612903203,18.0,18.0,0.0
SAITS,10pct,456,17704,44.0,44.0,0.0,5.392307692307693,5.438461538461539,0.04615384615384599,18.0,18.0,0.0
SAITS,10pct,456,17748,44.0,44.0,0.0,5.906779661016949,5.705882352941177,0.20089730807577233,18.299999999999983,17.299999999999983,1.0
SAITS,10pct,456,17750,48.0,45.0,3.0,5.582677165354331,5.690476190476191,0.10779902512186013,18.0,18.0,0.0
Mean,20pct,deterministic,17155,45.0,26.0,19.0,5.758064516129032,3.2349726775956285,2.5230918385334036,18.0,8.0,10.0
Mean,20pct,deterministic,17704,44.0,15.0,29.0,5.392307692307693,3.0372340425531914,2.3550736497545013,18.0,7.650000000000006,10.349999999999994
Mean,20pct,deterministic,17748,44.0,17.0,27.0,5.906779661016949,3.064516129032258,2.842263531984691,18.299999999999983,7.75,10.549999999999983
Mean,20pct,deterministic,17750,48.0,18.0,30.0,5.582677165354331,2.876923076923077,2.7057540884312536,18.0,9.0,9.0
Linear,20pct,deterministic,17155,45.0,64.0,19.0,5.758064516129032,6.171171171171171,0.4131066550421387,18.0,22.5,4.5
Linear,20pct,deterministic,17704,44.0,43.0,1.0,5.392307692307693,6.203703703703703,0.8113960113960106,18.0,22.299999999999983,4.299999999999983
Linear,20pct,deterministic,17748,44.0,44.0,0.0,5.906779661016949,6.543689320388349,0.6369096593714003,18.299999999999983,25.799999999999983,7.5
Linear,20pct,deterministic,17750,48.0,48.0,0.0,5.582677165354331,6.2407407407407405,0.6580635753864099,18.0,28.249999999999957,10.249999999999957
KNN,20pct,deterministic,17155,45.0,27.0,18.0,5.758064516129032,4.703448275862069,1.054616240266963,18.0,18.0,0.0
KNN,20pct,deterministic,17704,44.0,32.0,12.0,5.392307692307693,4.292207792207792,1.1000999000999006,18.0,12.349999999999994,5.650000000000006
KNN,20pct,deterministic,17748,44.0,45.0,1.0,5.906779661016949,4.985185185185185,0.921594475831764,18.299999999999983,15.299999999999997,2.999999999999986
KNN,20pct,deterministic,17750,48.0,48.0,0.0,5.582677165354331,5.201492537313433,0.3811846280408977,18.0,23.69999999999999,5.699999999999989
MICE,20pct,deterministic,17155,45.0,26.0,19.0,5.758064516129032,3.783132530120482,1.9749319860085501,18.0,12.25,5.75
MICE,20pct,deterministic,17704,44.0,23.0,21.0,5.392307692307693,3.8271604938271606,1.565147198480532,18.0,10.949999999999989,7.050000000000011
MICE,20pct,deterministic,17748,44.0,19.0,25.0,5.906779661016949,3.8742138364779874,2.0325658245389615,18.299999999999983,12.0,6.299999999999983
MICE,20pct,deterministic,17750,48.0,45.0,3.0,5.582677165354331,4.5524475524475525,1.030229612906778,18.0,14.0,4.0
SingleStageRF,20pct,42,17155,45.0,36.0,9.0,5.758064516129032,4.428571428571429,1.3294930875576032,18.0,13.0,5.0
SingleStageRF,20pct,42,17704,44.0,34.0,10.0,5.392307692307693,4.266666666666667,1.125641025641026,18.0,11.549999999999983,6.450000000000017
SingleStageRF,20pct,42,17748,44.0,44.0,0.0,5.906779661016949,4.461538461538462,1.4452411994784873,18.299999999999983,14.800000000000011,3.4999999999999716
SingleStageRF,20pct,42,17750,48.0,48.0,0.0,5.582677165354331,4.570422535211268,1.0122546301430626,18.0,17.899999999999977,0.10000000000002274
DirectTwoStageRF,20pct,42,17155,45.0,45.0,0.0,5.758064516129032,5.829268292682927,0.07120377655389465,18.0,19.0,1.0
DirectTwoStageRF,20pct,42,17704,44.0,44.0,0.0,5.392307692307693,5.453846153846154,0.06153846153846132,18.0,18.099999999999994,0.09999999999999432
DirectTwoStageRF,20pct,42,17748,44.0,45.0,1.0,5.906779661016949,5.858333333333333,0.048446327683615564,18.299999999999983,24.099999999999994,5.800000000000011
DirectTwoStageRF,20pct,42,17750,48.0,48.0,0.0,5.582677165354331,5.860655737704918,0.2779785723505874,18.0,24.94999999999999,6.949999999999989
SAITS,20pct,42,17155,45.0,64.0,19.0,5.758064516129032,5.3565891472868215,0.4014753688422106,18.0,18.0,0.0
SAITS,20pct,42,17704,44.0,34.0,10.0,5.392307692307693,4.402684563758389,0.9896231285493036,18.0,16.0,2.0
SAITS,20pct,42,17748,44.0,45.0,1.0,5.906779661016949,4.052287581699346,1.8544920793176027,18.299999999999983,10.400000000000006,7.899999999999977
SAITS,20pct,42,17750,48.0,44.0,4.0,5.582677165354331,4.246666666666667,1.3360104986876635,18.0,18.549999999999983,0.549999999999983
SingleStageRF,20pct,123,17155,45.0,31.0,14.0,5.758064516129032,4.342281879194631,1.4157826369344013,18.0,13.0,5.0
SingleStageRF,20pct,123,17704,44.0,34.0,10.0,5.392307692307693,4.2885906040268456,1.1037170882808471,18.0,12.0,6.0
SingleStageRF,20pct,123,17748,44.0,44.0,0.0,5.906779661016949,4.3493150684931505,1.5574645925237984,18.299999999999983,13.0,5.299999999999983
SingleStageRF,20pct,123,17750,48.0,48.0,0.0,5.582677165354331,4.493055555555555,1.0896216097987752,18.0,15.699999999999989,2.3000000000000114
DirectTwoStageRF,20pct,123,17155,45.0,45.0,0.0,5.758064516129032,5.733870967741935,0.024193548387096975,18.0,19.0,1.0
DirectTwoStageRF,20pct,123,17704,44.0,44.0,0.0,5.392307692307693,5.3816793893129775,0.010628302994715177,18.0,18.0,0.0
DirectTwoStageRF,20pct,123,17748,44.0,45.0,1.0,5.906779661016949,5.825,0.08177966101694878,18.299999999999983,24.099999999999994,5.800000000000011
DirectTwoStageRF,20pct,123,17750,48.0,48.0,0.0,5.582677165354331,5.733870967741935,0.1511938023876045,18.0,24.849999999999994,6.849999999999994
SAITS,20pct,123,17155,45.0,64.0,19.0,5.758064516129032,5.5476190476190474,0.21044546850998458,18.0,18.75,0.75
SAITS,20pct,123,17704,44.0,44.0,0.0,5.392307692307693,5.465116279069767,0.07280858676207469,18.0,18.19999999999999,0.19999999999998863
SAITS,20pct,123,17748,44.0,45.0,1.0,5.906779661016949,5.788135593220339,0.11864406779660985,18.299999999999983,21.599999999999966,3.299999999999983
SAITS,20pct,123,17750,48.0,48.0,0.0,5.582677165354331,5.764227642276423,0.18155047692209259,18.0,24.799999999999983,6.799999999999983
SingleStageRF,20pct,456,17155,45.0,36.0,9.0,5.758064516129032,4.510344827586207,1.2477196885428254,18.0,13.0,5.0
SingleStageRF,20pct,456,17704,44.0,34.0,10.0,5.392307692307693,4.218543046357616,1.1737646459500768,18.0,12.0,6.0
SingleStageRF,20pct,456,17748,44.0,44.0,0.0,5.906779661016949,4.468531468531468,1.4382481924854806,18.299999999999983,14.800000000000011,3.4999999999999716
SingleStageRF,20pct,456,17750,48.0,48.0,0.0,5.582677165354331,4.602836879432624,0.9798402859217061,18.0,16.0,2.0
DirectTwoStageRF,20pct,456,17155,45.0,45.0,0.0,5.758064516129032,5.933884297520661,0.17581978139162935,18.0,19.0,1.0
DirectTwoStageRF,20pct,456,17704,44.0,44.0,0.0,5.392307692307693,5.396946564885496,0.00463887257780371,18.0,18.0,0.0
DirectTwoStageRF,20pct,456,17748,44.0,45.0,1.0,5.906779661016949,5.915966386554622,0.00918672553767319,18.299999999999983,24.19999999999999,5.900000000000006
DirectTwoStageRF,20pct,456,17750,48.0,48.0,0.0,5.582677165354331,5.829268292682927,0.24659112732859612,18.0,24.89999999999999,6.8999999999999915
SAITS,20pct,456,17155,45.0,64.0,19.0,5.758064516129032,5.768,0.009935483870967765,18.0,18.799999999999997,0.7999999999999972
SAITS,20pct,456,17704,44.0,44.0,0.0,5.392307692307693,5.5813953488372094,0.18908765652951676,18.0,18.599999999999994,0.5999999999999943
SAITS,20pct,456,17748,44.0,45.0,1.0,5.906779661016949,5.948717948717949,0.04193828770099994,18.299999999999983,25.19999999999999,6.900000000000006
SAITS,20pct,456,17750,48.0,48.0,0.0,5.582677165354331,5.887096774193548,0.3044196088392175,18.0,24.69999999999999,6.699999999999989
Mean,block7d,deterministic,17155,45.0,24.0,21.0,5.758064516129032,4.8474576271186445,0.9106068890103876,18.0,16.299999999999983,1.700000000000017
Mean,block7d,deterministic,17704,44.0,26.0,18.0,5.392307692307693,4.428571428571429,0.9637362637362639,18.0,14.0,4.0
Mean,block7d,deterministic,17748,44.0,35.0,9.0,5.906779661016949,4.807017543859649,1.0997621171573,18.299999999999983,15.349999999999994,2.9499999999999886
Mean,block7d,deterministic,17750,48.0,38.0,10.0,5.582677165354331,4.848739495798319,0.7339376695560116,18.0,15.199999999999989,2.8000000000000114
Linear,block7d,deterministic,17155,45.0,48.0,3.0,5.758064516129032,6.98,1.2219354838709684,18.0,29.049999999999997,11.049999999999997
Linear,block7d,deterministic,17704,44.0,56.0,12.0,5.392307692307693,6.771428571428571,1.3791208791208787,18.0,26.0,8.0
Linear,block7d,deterministic,17748,44.0,56.0,12.0,5.906779661016949,6.52,0.6132203389830506,18.299999999999983,24.099999999999994,5.800000000000011
Linear,block7d,deterministic,17750,48.0,77.0,29.0,5.582677165354331,7.01980198019802,1.4371248148436893,18.0,26.0,8.0
KNN,block7d,deterministic,17155,45.0,31.0,14.0,5.758064516129032,5.091603053435114,0.6664614626939178,18.0,18.0,0.0
