method,scenario,thresh_mm,n_masked,freq_gt,freq_pred,bias,precision,recall,f1,dry_accuracy,csi,tp,fp,fn,tn
WGAN-GP_seq90_seed42+PrecipFix,20pct,0.1,2230,0.3453,1.0,0.6547,0.3453,1.0,0.5133,0.0,0.3453,770,1460,0,0
mean,20pct,0.1,2230,0.3453,1.0,0.6547,0.3453,1.0,0.5133,0.0,0.3453,770,1460,0,0
linear,20pct,0.1,2230,0.3453,0.3933,0.048,0.691,0.787,0.7359,0.8144,0.5821,606,271,164,1189
knn,20pct,0.1,2230,0.3453,0.996,0.6507,0.3458,0.9974,0.5135,0.0048,0.3455,768,1453,2,7
mice,20pct,0.1,2230,0.3453,0.9996,0.6543,0.3454,1.0,0.5135,0.0007,0.3454,770,1459,0,1
WGAN-GP_modeB_seed123,block7d,0.1,2070,0.3169,1.0,0.6831,0.3169,1.0,0.4813,0.0,0.3169,656,1414,0,0
WGAN-GP_modeB_seed123+Precip2Stage,block7d,0.1,2070,0.3169,0.3126,-0.0043,0.9567,0.9436,0.9501,0.9802,0.905,619,28,37,1386
WGAN-GP_modeB_seed123+PrecipFix,block7d,0.1,2070,0.3169,0.3343,0.0174,0.3627,0.3826,0.3724,0.6881,0.2288,251,441,405,973
WGAN-GP_modeB_seed42,block7d,0.1,2070,0.3169,1.0,0.6831,0.3169,1.0,0.4813,0.0,0.3169,656,1414,0,0
WGAN-GP_modeB_seed42+AmountRF,block7d,0.1,2070,0.3169,0.314,-0.0029,0.9846,0.9756,0.9801,0.9929,0.961,640,10,16,1404
WGAN-GP_modeB_seed42_amountrf+Precip2Stage,block7d,0.1,2070,0.3169,0.3126,-0.0043,0.9583,0.9451,0.9517,0.9809,0.9078,620,27,36,1387
WGAN-GP_modeB_seed42+Precip2Stage,block7d,0.1,2070,0.3169,0.3126,-0.0043,0.9583,0.9451,0.9517,0.9809,0.9078,620,27,36,1387
WGAN-GP_modeB_seed42+PrecipFinal,block7d,0.1,2070,0.3169,0.314,-0.0029,0.9846,0.9756,0.9801,0.9929,0.961,640,10,16,1404
WGAN-GP_modeB_seed42_precipfinal+Precip2Stage,block7d,0.1,2070,0.3169,0.3121,-0.0048,0.9598,0.9451,0.9524,0.9816,0.9091,620,26,36,1388
WGAN-GP_modeB_seed42+PrecipFix,block7d,0.1,2070,0.3169,0.3145,-0.0024,0.3748,0.372,0.3734,0.7122,0.2295,244,407,412,1007
WGAN-GP_modeB_seed456,block7d,0.1,2070,0.3169,1.0,0.6831,0.3169,1.0,0.4813,0.0,0.3169,656,1414,0,0
WGAN-GP_modeB_seed456+Precip2Stage,block7d,0.1,2070,0.3169,0.3135,-0.0034,0.9553,0.9451,0.9502,0.9795,0.9051,620,29,36,1385
WGAN-GP_modeB_seed456+PrecipFix,block7d,0.1,2070,0.3169,0.3063,-0.0106,0.336,0.3247,0.3302,0.7023,0.1978,213,421,443,993
WGAN-GP_seed123,block7d,0.1,2070,0.3169,1.0,0.6831,0.3169,1.0,0.4813,0.0,0.3169,656,1414,0,0
WGAN-GP_seed123+Precip2Stage,block7d,0.1,2070,0.3169,0.313,-0.0039,0.9568,0.9451,0.9509,0.9802,0.9064,620,28,36,1386
WGAN-GP_seed123+PrecipFix,block7d,0.1,2070,0.3169,0.2937,-0.0232,0.3766,0.3491,0.3623,0.732,0.2213,229,379,427,1035
WGAN-GP_seed42,block7d,0.1,2070,0.3169,1.0,0.6831,0.3169,1.0,0.4813,0.0,0.3169,656,1414,0,0
WGAN-GP_seed42+Precip2Stage,block7d,0.1,2070,0.3169,0.3126,-0.0043,0.9583,0.9451,0.9517,0.9809,0.9078,620,27,36,1387
WGAN-GP_seed42+PrecipFix,block7d,0.1,2070,0.3169,0.315,-0.0019,0.3926,0.3902,0.3914,0.7199,0.2433,256,396,400,1018
