freq_gt,freq_pred,bias,precision,recall,f1,csi,rmse_wet,mae_wet,tp,fp,fn,tn,mae_p95,rmse_p95,method,scenario,n_masked
0.3104,1.0,0.6896,0.3104,1.0,0.4737,0.3104,7.5876,4.2534,627,1393,0,0,23.14,24.2,WGAN-GP_raw_seed123,block30d,2020
0.3104,1.0,0.6896,0.3104,1.0,0.4737,0.3104,7.7517,4.3393,627,1393,0,0,23.49,24.54,WGAN-GP_raw_seed456,block30d,2020
0.3104,0.3262,0.0158,0.3536,0.3716,0.3624,0.2213,9.0406,5.6495,233,426,394,967,22.66,23.82,PrecipFix_seed42,block30d,2020
0.3104,0.3312,0.0208,0.3408,0.3636,0.3519,0.2135,9.2924,5.7938,228,441,399,952,23.38,24.48,PrecipFix_seed123,block30d,2020
0.3104,0.3158,0.0054,0.3103,0.3158,0.313,0.1856,9.0293,5.5697,198,440,429,953,23.59,24.64,PrecipFix_seed456,block30d,2020
0.3104,0.3223,0.0119,0.745,0.7735,0.759,0.6116,9.4373,5.6435,485,166,142,1227,19.31,20.93,Precip2Stage_clean_seed42,block30d,2020
0.3104,0.3223,0.0119,0.745,0.7735,0.759,0.6116,9.3964,5.7188,485,166,142,1227,20.22,21.61,Precip2Stage_clean_seed123,block30d,2020
0.3104,0.3223,0.0119,0.745,0.7735,0.759,0.6116,9.7125,5.8304,485,166,142,1227,20.7,22.11,Precip2Stage_clean_seed456,block30d,2020
0.3104,0.3223,0.0119,0.745,0.7735,0.759,0.6116,5.5817,3.4488,485,166,142,1227,12.98,15.81,AmountRF_clean_seed42,block30d,2020
0.3104,0.3223,0.0119,0.745,0.7735,0.759,0.6116,5.6253,3.4589,485,166,142,1227,13.09,15.91,AmountRF_clean_seed123,block30d,2020
0.3104,0.3223,0.0119,0.745,0.7735,0.759,0.6116,5.6143,3.47,485,166,142,1227,13.17,15.91,AmountRF_clean_seed456,block30d,2020
