bin_lo,bin_hi,count,mean_pred,obs_freq,seed,variant,split
0.6000000000000001,0.7000000000000001,17,0.6566403578186858,0.9411764705882353,42,raw,TEST:mnar_wet
0.7000000000000001,0.8,29,0.7518546307380246,0.896551724137931,42,raw,TEST:mnar_wet
0.8,0.9,36,0.8490429458918763,0.9166666666666666,42,raw,TEST:mnar_wet
0.9,1.0,84,0.9484030068595393,0.9880952380952381,42,raw,TEST:mnar_wet
0.0,0.1,126,0.06197223230918785,0.0873015873015873,42,platt,TEST:mnar_wet
0.1,0.2,55,0.1426750624111091,0.36363636363636365,42,platt,TEST:mnar_wet
0.2,0.30000000000000004,30,0.2466508484876506,0.5333333333333333,42,platt,TEST:mnar_wet
0.30000000000000004,0.4,13,0.35189596522790695,0.5384615384615384,42,platt,TEST:mnar_wet
0.4,0.5,17,0.4487753505451642,0.7647058823529411,42,platt,TEST:mnar_wet
0.5,0.6000000000000001,11,0.5361851618280536,0.7272727272727273,42,platt,TEST:mnar_wet
0.6000000000000001,0.7000000000000001,15,0.6563808842155153,0.9333333333333333,42,platt,TEST:mnar_wet
0.7000000000000001,0.8,24,0.755444320558194,0.9166666666666666,42,platt,TEST:mnar_wet
0.8,0.9,55,0.8580216111134952,0.9272727272727272,42,platt,TEST:mnar_wet
0.9,1.0,71,0.9158765741407191,0.9859154929577465,42,platt,TEST:mnar_wet
0.0,0.1,101,0.03435038030661826,0.06930693069306931,42,isotonic,TEST:mnar_wet
0.1,0.2,78,0.13010352716586832,0.28205128205128205,42,isotonic,TEST:mnar_wet
0.2,0.30000000000000004,17,0.29256146903205726,0.5294117647058824,42,isotonic,TEST:mnar_wet
0.30000000000000004,0.4,23,0.33884879422636854,0.5652173913043478,42,isotonic,TEST:mnar_wet
0.4,0.5,31,0.46581005347774584,0.7096774193548387,42,isotonic,TEST:mnar_wet
0.5,0.6000000000000001,0,,,42,isotonic,TEST:mnar_wet
0.6000000000000001,0.7000000000000001,30,0.6682146341463415,0.9,42,isotonic,TEST:mnar_wet
0.7000000000000001,0.8,40,0.7425286885245902,0.95,42,isotonic,TEST:mnar_wet
0.8,0.9,14,0.8641975308641976,0.8571428571428571,42,isotonic,TEST:mnar_wet
0.9,1.0,83,0.9670653952428742,0.9879518072289156,42,isotonic,TEST:mnar_wet
0.0,0.1,67,0.04857574925512906,0.029850746268656716,42,raw,TEST:mnar_intensity_moderate
0.1,0.2,56,0.15035295195411877,0.16071428571428573,42,raw,TEST:mnar_intensity_moderate
0.2,0.30000000000000004,36,0.243805634234465,0.05555555555555555,42,raw,TEST:mnar_intensity_moderate
0.30000000000000004,0.4,23,0.3503636731707605,0.4782608695652174,42,raw,TEST:mnar_intensity_moderate
0.4,0.5,16,0.4496815293229416,0.625,42,raw,TEST:mnar_intensity_moderate
0.5,0.6000000000000001,16,0.5324164001782141,0.4375,42,raw,TEST:mnar_intensity_moderate
0.6000000000000001,0.7000000000000001,21,0.6588389739857856,0.8095238095238095,42,raw,TEST:mnar_intensity_moderate
0.7000000000000001,0.8,29,0.7542233892533047,0.8275862068965517,42,raw,TEST:mnar_intensity_moderate
