family,params,scenario,gate_trigger_rate,dlpif_f1,gated_f1,delta_f1,dlpif_rmse_wet,gated_rmse_wet,delta_rmse_wet
scalar-gate,"{""w_local"": 0.4, ""w_neighbor"": 0.6, ""tau"": 0.45}",mnar_intensity_severe,0.0,0.9365,0.9365,0.0,9.8108,9.8108,0.0
scalar-gate,"{""w_local"": 0.4, ""w_neighbor"": 0.6, ""tau"": 0.45}",block7d,0.0,0.7927,0.7927,0.0,4.8806,4.8806,0.0
scalar-gate,"{""w_local"": 0.4, ""w_neighbor"": 0.6, ""tau"": 0.45}",block30d,0.0,0.797,0.797,0.0,6.0814,6.0814,0.0
scalar-gate,"{""w_local"": 0.4, ""w_neighbor"": 0.6, ""tau"": 0.45}",netblock30d,1.0,0.0,0.5202,0.5202,6.4085,5.5954,-0.8131
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 1.0}",10pct,0.0,0.8117,0.8117,0.0,5.4082,5.4082,0.0
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 1.0}",mar_meteo,0.0048,0.8119,0.8074,-0.0044,5.2333,5.2279,-0.0054
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 1.0}",mnar_wet,0.0,0.8391,0.8391,0.0,5.5714,5.5714,0.0
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 1.0}",mnar_intensity_moderate,0.0,0.8744,0.8744,0.0,6.4166,6.4166,0.0
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 1.0}",mnar_intensity_severe,0.0024,0.9365,0.9347,-0.0018,9.8108,9.8168,0.006
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 1.0}",block7d,0.031,0.7927,0.7832,-0.0095,4.8806,4.871,-0.0097
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 1.0}",block30d,0.0417,0.797,0.7821,-0.0149,6.0814,6.1552,0.0738
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 1.0}",netblock30d,1.0,0.0,0.5202,0.5202,6.4085,5.5954,-0.8131
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 0.9}",10pct,0.0,0.8117,0.8117,0.0,5.4082,5.4082,0.0
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 0.9}",mar_meteo,0.0048,0.8119,0.8074,-0.0044,5.2333,5.2279,-0.0054
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 0.9}",mnar_wet,0.0,0.8391,0.8391,0.0,5.5714,5.5714,0.0
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 0.9}",mnar_intensity_moderate,0.0,0.8744,0.8744,0.0,6.4166,6.4166,0.0
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 0.9}",mnar_intensity_severe,0.0024,0.9365,0.9347,-0.0018,9.8108,9.8168,0.006
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 0.9}",block7d,0.031,0.7927,0.7832,-0.0095,4.8806,4.871,-0.0097
